HABAKKUK PHARMACY - NEGATIVE STOCK REPORT
Generated: 2025-12-29T18:36:24.531Z
Total Items with Negative Stock: 300

====================================================================================================
SKU         Product Name                                   Quantity  Cost PriceCategory                 
====================================================================================================
HAB-00300   DEXONA 0.5MG TABS 10X10                           -8990        1730Other                    
HAB-00676   METRO COATED                                      -6772          19Other                    
HAB-00538   KAMADOL TABLETS 100 BLISTER                       -6100          10Other                    
HAB-00502   IBUROFEN 200 TABS NEW                             -3800          16Other                    
HAB-00048   AMOXYL CAPS SWT                                   -2870          41Antibiotics              
HAB-00852   Predinsolone 10x10                                -2440          21Other                    
HAB-00853   Prednisolin Kpi 10x10                             -2090          20Other                    
HAB-00340   Doxlyeb 10x10                                     -1684          15Other                    
HAB-00701   Multivitamin 10x10                                -1520          27Vitamins & Supplements   
HAB-00307   Dexona Tab 10x10 Zydus                            -1394          18Other                    
HAB-00750   OMEPERAZOLE 10X10 LOKIT                           -1246         122Other                    
HAB-00644   Mebendazole 10x10                                 -1150          22Anthelmintics & Antiparasitics
HAB-00818   PIRICAM 2OMG CAPS 10X10S                          -1090          26Other                    
HAB-00320   Diclofena 10x10250 Rene                           -1060          11Other                    
HAB-01047   Vit C 10x10 Kpi New                               -1060          16Vitamins & Supplements   
HAB-00226   Cetrizine Tab 10x10                               -1050          13Other                    
HAB-01003   TORACTINE 10X10 TABS 4                             -990          60Other                    
HAB-00828   Piroxicam 10x10 Z/c N                              -935          26Pain Relief & Anti-inflammatory
HAB-00749   Omemprazole Cap 10x10                              -910          34Other                    
HAB-00930   Septrine 10x10 Rene                                -870          36Antibiotics              
HAB-00301   Dexona 10x10 Z/c                                   -860          19Other                    
HAB-00363   Erythromycin 10x10 Kpi                             -813         143Antibiotics              
HAB-00832   PIROXICAM TBS                                      -800          20Pain Relief & Anti-inflammatory
HAB-00367   ERYTHROMYCIN TABS KPI                              -794         142Antibiotics              
HAB-00723   Nifidepine 20mg Tbs Cadilla                        -780          30Other                    
HAB-00188   Cannulla G-24 Yellow IMPT                          -759         437Other                    
HAB-00078   Aprinox 5mg 10x10                                  -721          56Other                    
HAB-00687   Metro  Tab F/c 10x10                               -700          21Other                    
HAB-00811   Phenababiton                                       -685          41Other                    
HAB-01004   Toractine Tab 10x10                                -680          61Other                    
HAB-00500   Ibuprofine Kpi 10x10                               -610          21Other                    
HAB-00825   Piriton Tab 10x10                                  -550          12Antihistamines & Allergy 
HAB-00727   Nifidipine 20mg Z/c                                -515          30Other                    
HAB-01008   TORACTIN TBS BLACK                                 -510          59Other                    
HAB-00191   CARBAMAZEPINE TABS                                 -500          94Antipsychotics & CNS     
HAB-00534   KAMADOL PLUS TABLETS                               -500          54Other                    
HAB-00023   Albendazole 400mg                                  -481         320Anthelmintics & Antiparasitics
HAB-00688   Metro TAb F/c Revive 10x10                         -476          22Other                    
HAB-00913   Roxone Gm Injection                                -473         700Injectables              
HAB-00056   AMPICILLIN CAPSULES BP 250MG                       -460          64Antibiotics              
HAB-00064   AMPICLOX CAPS SWIFT                                -440         115Antibiotics              
HAB-00757   Omiren 20mg Cap Omez                               -420         280Other                    
HAB-00808   Pen- V 250 10x10                                   -415          76Other                    
HAB-00224   Cetrizine 10x10 Rene                               -410          12Other                    
HAB-00322   Diclofenac 10x10 250                               -410          11Pain Relief & Anti-inflammatory
HAB-00684   Metronidazole Tablets                              -408          19Antibiotics              
HAB-00809   PEN V-250 10X10 TAB                                -406          74Other                    
HAB-00726   NIFIDIPINE 20MG CADILA                             -380          29Other                    
